Coder	Citation			Background Information			Eligibility Criteria							Search Procedures				Screening and Coding Procedures			MA Methods					Bias	Search Results			For each primary study.... Did the authors publish:					Reproducible results		Review size 		Comments	
Coder	Citation	DoP	DOI	Received Funding	Meta-Analysis Type	Protocol or registered?	Eligibility - Population	Eligibility - Design	Eligibility - Design record	Eligibility - Intervention/Manipulation	Eligibility - Predictors	Eligibility - Outcomes	Eligibility - Publication status	Provided databases searched	Provided search terms	Provided search dates	Contacted authors	Discussed abstract screening	Discussed FT screening	Discussed coding process	Defined effect size measure	Discussed data handling	Discussed handling of dependent data points	Defined synthesis model	Defined weighting method	Publication bias assessed	Provided number found in search	Provided number eligible for coding	Provided number coded	Means/sd (if applicable)	Sample Size	Other data for ES calculation	Effect Size	Moderators used in Analyses	Part of data published in supplementary material	Statistical code 	Review size 	notes on review size	Comments	Response
2	"van der Linden, D., Pekaar, K. A., Bakker, A. B., Schermer, J. A., Vernon, P. A., Dunkel, C. S., & Petrides, K. V. (2017). Overlap between the general factor of personality and emotional intelligence: A meta-analysis. Psychological bulletin, 143(1), 36."	2017	10.1037/bul0000078	n	correlation	n	n	NA	did not report	NA	y	y	y	y	y	n	n	n	n	n	y	n	y	n	y	n	n	n	y	NA	n	n	n	n	n	n	142	abstract		
2	"Roberts, B. W., Luo, J., Briley, D. A., Chow, P. I., Su, R., & Hill, P. L. (2017). A systematic review of personality trait change through intervention. Psychological Bulletin, 143(2), 117."	2017	10.1037/bul0000088	n	experimental	n	n	y	"Second, the study was considered for inclusion if it employed a prepost test design, that is, an experimental design such that personality trait change from pre- to posttest or the difference between control and treatment groups was reported."	y	NA	y	y	y	y	y	y	n	n	y	y	y	y	y	y	y	n	n	y	y	y	y	y	y	y	n	207	abstract		
2	"Franklin, J. C., Ribeiro, J. D., Fox, K. R., Bentley, K. H., Kleiman, E. M., Huang, X., ... & Nock, M. K. (2017). Risk factors for suicidal thoughts and behaviors: A meta-analysis of 50 years of research. Psychological Bulletin, 143(2), 187."	2017	10.1037/bul0000084	y	correlation	n	n	y	"Because risk factors must precede outcomes (Kraemer et al., 1997), only effect sizes that longitudi-nally predicted a relevant outcome were included."	NA	y	y	y	y	y	y	n	n	n	y	y	y	y	y	y	y	y	y	y	NA	n	n	n	n	n	n	365	abstract		
2	"Karazsia, B. T., Murnen, S. K., & Tylka, T. L. (2017). Is body dissatisfaction changing across time? A cross-temporal meta-analysis. Psychological bulletin, 143(3), 293."	2017	10.1037/bul0000081	y	correlation	n	n	NA	did not report	NA	y	y	y	y	y	n	y	n	n	n	y	y	y	y	n	n	y	y	y	y	y	y	y	y	y	n	253	p. 298		
1	"Suchotzki, K., Verschuere, B., Van Bockstaele, B., Ben-Shakhar, G., & Crombez, G. (2017). Lying takes time: A meta-analysis on reaction time measures of deception. Psychological bulletin, 143(4), 428."	2017	10.1037/bul0000087	y	experimental	n	y	y	Reported results of computer-based RT measure of deception (or orhter primary measures). Only paradigms that allowed within-subject comp of truth telling and lying.	y	NA	y	y	y	y	y	y	y	y	y	y	n	y	y	y	y	y	y	y	n	y	n	y	n	n	n	114	abstract		
2	"Sugden, N. A., & Marquis, A. R. (2017). Meta-analytic review of the development of face discrimination in infancy: Face race, face gender, infant age, and methodology moderate face discrimination. Psychological bulletin, 143(11), 1201."	2017	10.1037/bul0000116	n	experimental	n	y	n	did not report	NA	y	y	y	y	y	n	y	y	y	y	y	n	y	y	y	y	y	y	y	y	y	y	y	y	y	n	30	abstract		
2	"Montoya, R. M., Horton, R. S., Vevea, J. L., Citkowicz, M., & Lauber, E. A. (2017). A re-examination of the mere exposure effect: The influence of repeated exposure on recognition, familiarity, and liking. Psychological bulletin, 143(5), 459."	2017	10.1037/bul0000085	n	correlation	n	y	y	This criterion was added because an analytic strategy of modeling growth curves requires at least three data points. 	NA	y	y	y	y	n	n	y	n	n	y	y	y	n	y	y	y	n	y	y	NA	y	y	y	y	y	n	81	abstract		
2	"Toosi, N. R., Babbitt, L. G., Ambady, N., & Sommers, S. R. (2012). Dyadic interracial interactions: A meta-analysis. Psychological Bulletin, 138(1), 1."	2012	10.1037/a0025767	y	group differences	n	y	n	did not report	NA	y	y	y	y	n	n	y	n	n	y	y	y	n	y	y	y	n	n	y	n	y	n	y	y	n	n	81	p. 7		
2	"Fischer, P., Greitemeyer, T., Kastenmüller, A., Vogrincic, C., & Sauer, A. (2011). The effects of risk-glorifying media exposure on risk-positive cognitions, emotions, and behaviors: a meta-analytic review. Psychological bulletin, 137(3), 367."	2011	10.1037/a0022267	n	correlation	n	y	n	did not report	NA	y	y	y	y	y	n	y	y	n	y	y	y	y	y	n	y	n	n	y	NA	y	n	y	y	n	n	88	p. 374		
2	"Hofmann, W., De Houwer, J., Perugini, M., Baeyens, F., & Crombez, G. (2010). Evaluative conditioning in humans: a meta-analysis. Psychological bulletin, 136(3), 390."	2010	10.1037/a0018916	y	experimental	n	n	y	The study design contained at least two out of the following three measurements	y	NA	y	y	y	y	y	y	y	n	y	y	y	y	y	y	y	y	y	y	n	n	n	n	n	n	n	214	abstract		
2	"Baglioni, C., Nanovska, S., Regen, W., Spiegelhalder, K., Feige, B., Nissen, C., ... & Riemann, D. (2016). Sleep and mental disorders: A meta-analysis of polysomnographic research. Psychological bulletin, 142(9), 969."	2016	10.1037/bul0000053	y	correlation	n	y	y	Inclusion of a healthy control group;	NA	y	y	n	y	y	y	y	y	y	y	n	n	y	y	n	y	y	y	y	y	y	y	y	y	y	n	91	p. 8		
1	"Sowislo, J. F., & Orth, U. (2013). Does low self-esteem predict depression and anxiety? A meta-analysis of longitudinal studies. Psychological Bulletin, 139(1), 213."	2013	10.1037/a0028931	y	correlation	n	y	y	longitudinal	NA	y	y	y	y	y	n	n	n	y	y	y	y	n	y	y	y	y	y	y	NA	y	y	y	y	n	n	95	abstract		
1	"Storm, L., Tressoldi, P. E., & Di Risio, L. (2010). Meta-analysis of free-response studies, 1992–2008: Assessing the noise reduction model in parapsychology. Psychological Bulletin, 136(4), 471."	2010	10.1037/a0019457	n	experimental	n	n	not sure	"only ESP (extra-sensory perception) studies, more than 2 participants"	y	NA	y	n	y	y	n	n	n	n	n	y	y	n	n	n	n	n	n	y	n	n	n	y	y	y	n	48	475		
1	"Lull, R. B., & Bushman, B. J. (2015). Do sex and violence sell? A meta-analytic review of the effects of sexual and violent media and ad content on memory, attitudes, and buying intentions. Psychological Bulletin, 141(5), 1022."	2015	10.1037/bul0000018	n	experimental	n	n	y	inclusion of control group; both between and within	y	NA	y	y	y	y	n	n	y	n	y	y	y	y	y	n	y	y	y	y	n	y	n	y	y	n	n	31	1029		
1	"Orquin, J. L., & Kurzban, R. (2016). A meta-analysis of blood glucose effects on human decision making. Psychological Bulletin, 142(5), 546."	2016	10.1037/bul0000035	n	experimental	n	y	y	experimental & quasi-experimental studies	y	NA	y	y	y	y	y	y	n	n	y	y	y	y	n	n	y	y	y	y	n	y	n	y	y	n	n	42	abstract		
1	"Hedger, N., Gray, K. L., Garner, M., & Adams, W. J. (2016). Are visual threats prioritized without awareness? A critical review and meta-analysis involving 3 behavioral paradigms and 2696 observers. Psychological Bulletin, 142(9), 934."	2016	10.1037/bul0000054	n	experimental	n	y	not sure	paradigm must include certain manipulations and beha measures	y	NA	y	n	y	y	n	n	n	n	y	y	y	y	n	n	y	n	y	y	n	y	n	n	y	y	n	37	17		
1	"Scott, J. C., Matt, G. E., Wrocklage, K. M., Crnich, C., Jordan, J., Southwick, S. M., ... & Schweinsburg, B. C. (2015). A quantitative meta-analysis of neurocognitive functioning in posttraumatic stress disorder. Psychological Bulletin, 141(1), 105."	2015	10.1037/a0038039	y	group differences	n	y	n	excluded designs without control group (but control group is compared to ptsd group)	NA	y	y	n	y	y	n	n	n	n	y	y	y	y	y	y	y	n	y	y	n	y	n	n	y	n	n	60	abstract		
1	"Chaplin, T. M., & Aldao, A. (2013). Gender differences in emotion expression in children: A meta-analytic review. Psychological Bulletin, 139(4), 735."	2013	10.1037/a0030737	n	group differences	n	y	y	"If the data came from an intervention study, we only included data at preintervention
since emotion expressions may be altered by interventions"	NA	y	y	y	y	y	n	y	n	y	y	y	y	y	y	y	y	y	y	y	n	y	n	y	y	n	n	166	abstract		
2	"Webb, T. L., Miles, E., & Sheeran, P. (2012). Dealing with feeling: a meta-analysis of the effectiveness of strategies derived from the process model of emotion regulation. Psychological bulletin, 138(4), 775."	2012	10.1037/a0027600	y	experimental	n	y	y	Two types of comparisons were deemed to provide useful information about the effects of different ER strategies:	y	NA	y	y	y	y	y	y	n	n	y	y	y	n	y	y	y	y	y	y	n	y	n	y	y	n	n	190	p. 784		
2	"Hoppenbrouwers, S. S., Bulten, B. H., & Brazil, I. A. (2016). Parsing fear: A reassessment of the evidence for fear deficits in psychopathy. Psychological bulletin, 142(6), 573."	2016	10.1037/bul0000040	n	correlation	n	y	n	"Only studies with samples sizes 10 were included (Hedges, 1982)."	NA	y	y	n	y	y	n	y	n	n	n	y	n	n	y	n	y	n	n	y	NA	n	n	n	n	n	n	28	p. 16		
2	"Wrzus, C., Hänel, M., Wagner, J., & Neyer, F. J. (2013). Social network changes and life events across the life span: a meta-analysis. Psychological bulletin, 139(1), 53."	2012	10.1037/a0028601	n	group differences	n	y	NA	did not report	NA	NA	y	n	y	y	y	y	y	n	n	y	y	y	y	y	y	y	y	y	n	n	n	n	n	n	n	277	abstract		
2	"Harkin, B., Webb, T. L., Chang, B. P., Prestwich, A., Conner, M., Kellar, I., ... & Sheeran, P. (2016). Does monitoring goal progress promote goal attainment? A meta-analysis of the experimental evidence. Psychological bulletin, 142(2), 198."	2016	10.1037/bul0000025	y	experimental	n	y	y	"but in a different manner or to a lesser degree than the treatment condition) or a no-intervention group (e.g., a waiting list control group)."	y	NA	y	y	y	y	n	n	n	n	y	y	y	y	y	y	y	y	y	y	n	y	n	y	y	n	n	138	abstract		
2	"Hulleman, C. S., Schrager, S. M., Bodmann, S. M., & Harackiewicz, J. M. (2010). A meta-analytic review of achievement goal measures: Different labels for the same constructs or different constructs with similar labels?. Psychological bulletin, 136(3), 422."	2010	10.1037/a0018947	y	correlation	n	y	n	did not report	NA	y	y	y	y	y	y	y	n	n	y	y	y	y	y	y	y	y	y	y	NA	n	n	n	n	n	n	243	abstract		
2	"Fehr, R., Gelfand, M. J., & Nag, M. (2010). The road to forgiveness: a meta-analytic synthesis of its situational and dispositional correlates. Psychological bulletin, 136(5), 894."	2010	10.1037/a0019993	y	correlation	n	y	n	did not report	NA	y	y	y	y	y	y	y	n	n	n	y	y	y	y	y	n	n	n	y	NA	n	n	n	n	n	n	175	abstract		
2	"Mazei, J., Hüffmeier, J., Freund, P. A., Stuhlmacher, A. F., Bilke, L., & Hertel, G. (2015). A meta-analysis on gender differences in negotiation outcomes and their moderators. Psychological Bulletin, 141(1), 85."	2015	10.1037/a0038184	y	group differences	n	y	NA	did not report	NA	NA	y	y	y	y	y	y	n	y	y	y	y	y	y	y	y	n	y	y	n	n	n	n	n	n	n	51	p. 89		
2	"Rhodes, M. G., & Anastasi, J. S. (2012). The own-age bias in face recognition: a meta-analytic and theoretical review. Psychological bulletin, 138(1), 146."	2012	10.1037/a0025750	n	experimental	n	y	y	"manipulated the age of the face studied, comprising stimuli that were congruent with the age of the participants and at least one group of stimuli that was not congruent with the age of the participants"	y	NA	y	y	y	y	n	y	n	n	n	y	y	y	y	y	n	n	n	y	n	n	n	n	n	n	n	43	p 150		
2	"Van der Hallen, R., Evers, K., Brewaeys, K., Van den Noortgate, W., & Wagemans, J. (2015). Global processing takes time: A meta-analysis on local–global visual processing in ASD. Psychological bulletin, 141(3), 549."	2015	10.1037/bul0000004	y	experimental	n	y	n	did not report	y	NA	y	y	y	y	y	n	y	y	y	y	y	y	y	y	y	y	y	y	n	y	n	y	y	n	n	56	abstract		
2	"Liu, S., Huang, J. L., & Wang, M. (2014). Effectiveness of job search interventions: A meta-analytic review. Psychological bulletin, 140(4), 1009."	2014	10.1037/a0035923	n	experimental	n	n	y	"have used an experimental design or a quasi-experimental design with a control group, because this type of study is able to rule out important alternative explanations of the intervention effect,"	y	NA	y	y	y	n	y	n	n	n	y	y	y	n	y	y	y	n	n	y	n	n	n	n	n	n	n	47	abstract		
2	"Szalma, J. L., & Hancock, P. A. (2011). Noise effects on human performance: a meta-analytic synthesis. Psychological bulletin, 137(4), 682."	2011	10.1037/a0023987	y	experimental	n	y	y	Each report was required to include a control group that experienced a baseline quiet condition or received lower intensities	y	NA	y	y	y	y	y	n	n	n	n	y	y	y	y	y	n	n	y	y	n	n	n	n	n	n	n	242	abstract		
2	"Sedlmeier, P., Eberth, J., Schwarz, M., Zimmermann, D., Haarig, F., Jaeger, S., & Kunze, S. (2012). The psychological effects of meditation: a meta-analysis. Psychological bulletin, 138(6), 1139."	2012	10.1037/a0028168	n	experimental	n	y	y	"we included only studies that, in addition to a meditation group, also used some kind of control group."	y	NA	y	y	y	n	y	n	n	n	y	y	y	n	y	y	y	n	y	y	n	y	y	y	y	y	n	163	abstract		
2	"Ottaviani, C., Thayer, J. F., Verkuil, B., Lonigro, A., Medea, B., Couyoumdjian, A., & Brosschot, J. F. (2016). Physiological concomitants of perseverative cognition: A systematic review and meta-analysis. Psychological Bulletin, 142(3), 231."	2016	10.1037/bul0000036	y	correlation	n	n	n	did not report	NA	y	y	y	y	y	y	y	n	n	y	y	y	y	y	n	y	y	y	y	n	y	n	y	y	y	n	60	abstract		
2	"Kim, S., Thibodeau, R., & Jorgensen, R. S. (2011). Shame, guilt, and depressive symptoms: a meta-analytic review. Psychological bulletin, 137(1), 68."	2011	10.1037/a0021466	n	correlation	n	n	n	did not report	NA	y	y	y	y	y	n	y	n	n	y	y	y	y	y	y	y	n	n	y	NA	y	n	y	y	n	n	108	abstract		
2	"Grijalva, E., Newman, D. A., Tay, L., Donnellan, M. B., Harms, P. D., Robins, R. W., & Yan, T. (2015). Gender differences in narcissism: A meta-analytic review. Psychological bulletin, 141(2), 261."	2015	10.1037/a0038231	n	group differences	n	n	n	did not report	NA	NA	y	y	y	y	n	y	n	n	y	y	y	y	y	y	y	n	n	y	n	y	n	y	y	n	n	355	abstract		
